time_s	time_us	phi_deg	theta_deg	psi_deg	p_deg_s	q_deg_s	r_deg_s	ax_ms2	ay_ms2	az_ms2	
1429809787	696182	-163.872	-87.6975	-170.852	0.0718201	0.658536	-0.0987793	-9.66151	0.105381	-0.167651	
1429809787	746547	-164.081	-87.7182	-170.633	0.270145	0.690388	-0.215046	-9.65672	0.0718506	-0.138911	
1429809787	796198	-164.182	-87.737	-170.523	0.177666	0.645432	-0.802198	-9.64235	-0.0191602	-0.205972	
1429809787	846240	-164.459	-87.7588	-170.237	0.0806755	0.612393	0.0461982	-9.65672	0.00479004	-0.172441	
1429809787	896456	-164.79	-87.7917	-169.894	0.162121	0.321324	0.131705	-9.65193	0.0814307	-0.134121	
1429809787	957536	-164.603	-87.7942	-170.075	0.037235	0.286546	-0.196966	-9.71899	0.0814307	-0.167651	
1429809787	996113	-164.048	-87.7955	-170.62	0.421045	0.162747	0.410637	-9.61361	0.0718506	-0.105381	
1429809788	46261	-163.873	-87.7956	-170.786	0.104285	0.547753	0.138113	-9.65193	0.0191602	-0.138911	
1429809788	96505	-163.422	-87.8173	-171.229	0.10293	0.268791	0.0291065	-9.64235	0.0622705	-0.143701	
1429809788	146646	-163.15	-87.82	-171.492	0.125094	0.0998335	0.113566	-9.70462	0.0431104	-0.177231	
1429809788	196289	-163.608	-87.822	-171.029	0.143106	-0.618853	-0.2701	-9.65193	0.0479004	-0.229922	
1429809788	246195	-163.456	-87.8286	-171.171	0.27528	0.159006	0.150893	-9.65672	0.100591	-0.162861	
1429809788	296158	-163.916	-87.8231	-170.704	0.136633	-0.164267	-0.835428	-9.67588	0.100591	-0.162861	
1429809788	357310	-164.068	-87.8245	-170.545	0.0912499	0.0570368	0.0830959	-9.69504	0.0718506	-0.119751	
1429809788	396197	-164.299	-87.8155	-170.309	0.214219	-0.269023	-0.0752002	-9.58008	0.0862207	-0.205972	
1429809788	446256	-164.334	-87.8251	-170.264	0.133146	0.121569	-0.351028	-9.66151	0.0814307	-0.114961	
1429809788	496186	-164.156	-87.8221	-170.436	0.184551	0.0556763	0.556198	-9.60403	0.0670606	-0.110171	
1429809788	546409	-163.855	-87.8277	-170.726	0.244338	0.0168616	0.183063	-9.68546	0.0239502	-0.134121	
1429809788	596138	-163.558	-87.8326	-171.011	0.196944	-0.099191	0.209321	-9.64235	0.0479004	-0.100591	
1429809788	646197	-163.276	-87.8399	-171.282	0.0939496	0.402419	0.0979281	-9.65672	0.0622705	-0.162861	
1429809788	696148	-162.756	-87.8438	-171.793	0.245124	0.0887664	0.827052	-9.63277	0.0335303	-0.138911	
1429809788	757946	-162.851	-87.843	-171.689	0.121201	0.108697	-0.278914	-9.58487	0.0479004	-0.158071	
1429809788	796167	-162.83	-87.8578	-171.707	0.100529	0.680462	-0.55622	-9.68067	0.0526904	-0.158071	
1429809788	846226	-163.004	-87.8626	-171.524	0.0693622	0.087449	0.0543311	-9.6663	0.114961	-0.186812	
1429809788	896198	-163.156	-87.8831	-171.363	0.347814	-0.0176851	-0.263254	-9.68067	0.0814307	-0.138911	
1429809788	946365	-162.884	-87.9071	-171.63	0.14173	-0.0143716	-0.317146	-9.68067	0.0862207	-0.162861	
1429809788	996206	-162.654	-87.9243	-171.849	0.176166	0.0433226	-0.155284	-9.70462	0.0574805	-0.196392	
1429809789	46273	-162.085	-87.9351	-172.407	0.184844	-0.316913	0.330561	-9.65672	0.0766406	-0.186812	
